[tt0116040]  [$32,885,565]  
[tt0115862]  [$14,402,821]  
[tt0117561]  [$10,580 ]  
[tt0116442]  [$617,632 ]  
[tt0115783]  [$21,162,420]  
[tt0117965]  [$3,594,848 ]  
[tt0116365]  [$16,524,115]  
[tt0116136]  [$51,317,350]  
[tt0116322]  [$20,047,715]  
[tt0117998]  [$241,721,520]  
[tt0117128]  [$1,004,821 ]  
[tt0116287]  [$20,754,000]  
[tt0117608]  [$30,356,793]  
[tt0116165]  [$6,288,000 ]  
[tt0116483]  [$38,624,000]  
[tt0115474]  []  
[tt0319037]  []  
[tt0114746]  [$56,882,000]  
[tt0112453]  [$11,268,750]  
[tt0112641]  [$42,438,300]  
[tt0112346]  [$65,000,000]  
[tt0113188]  [$6,029,091 ]  
[tt0114576]  [$20,350,171]  
[tt0113347]  [$23,574,130]  
[tt0112688]  [$13,040,603]  
[tt0114682]  [$32,923,280]  
[tt0112431]  [$66,600,000]  
[tt0114898]  [$88,246,220]  
[tt0112384]  [$1,736,281 ]  
[tt0112642]  [$100,328,190]  
[tt0114852]  [$9,417,567 ]  
[tt0112757]  [$2,568,429 ]  
[tt0110443]  [$29,412,050]  
[tt0159144]  []  
[tt0113360]  [$6,607,652 ]  
[tt0112508]  [$25,588,750]  
[tt0114608]  [$21,088,568]  
[tt0112293]  []  
[tt0112294]  []  
[tt0112295]  []  
[tt0112296]  []  
[tt0112297]  []  
[tt0112298]  []  
[tt0112299]  []  
[tt0112301]  []  
[tt0110216]  [$36,763,355]  
[tt0110939]  [$1,299,060 ]  
[tt0110997]  [$46,816,343]  
[tt0110366]  [$51,764,950]  
[tt0111143]  [$32,055,248]  
[tt0109493]  [$20,277,185]  
[tt0109813]  [$130,512,910]  
[tt0109504]  [$13,640,000]  
[tt0110771]  [$38,824,341]  
[tt0110950]  [$20,982,557]  
[tt0109890]  [$16,096,000]  
[tt0106375]  [$53,354,166]  
[tt0107207]  [$25,096,862]  
[tt0108052]  [$96,045,248]  
[tt0108526]  [$9,315,576 ]  
[tt0106519]  [$36,948,322]  
[tt0106941]  [$10,997,166]  
[tt0107076]  [$32,534,954]  
[tt0107091]  [$16,581,714]  
[tt0107290]  [$395,593,320]  
[tt0106770]  [$35,112,679]  
[tt0106613]  [$31,888,805]  
[tt0106500]  [$17,953,778]  
[tt0107473]  [$11,081,586]  
[tt0107529]  [$9,532,895 ]  
[tt0104756]  [$7,286,388 ]  
[tt0105636]  [$13,747,138]  
[tt0105323]  [$63,895,607]  
[tt0106308]  [$11,502,976]  
[tt0104926]  [$20,883,046]  
[tt0105187]  [$3,067,917 ]  
[tt0105435]  [$51,433,000]  
[tt0104070]  [$58,422,650]  
[tt0104452]  [$58,500,635]  
[tt0104231]  [$58,883,840]  
[tt0104697]  [$1,514,114 ]  
[tt0103747]  [$17,530,973]  
[tt0103786]  [$55,728,425]  
[tt0103671]  [$13,086,430]  
[tt0105477]  [$28,411,210]  
