WEO Subject Code,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NGDP_RPCH,Guinea,2.601,0.61,1.8,1.3,1.4,5,3.114,3.3,6.308,4.003,4.324,1.455,3.273,5.048,4.001,4.68,5.157,5.181,4.585,4.51,2.885,3.769,4.167,1.2,2.34,2.997,2.497,1.758,4.937,-0.28,1.936,3.909,3.944,4.513,5.232,5.383,5.846,18.912,18.168
NGDP_RPCH,Guinea-Bissau,n/a,-0.498,4.2,-3.4,5.5,4.3,-1,5.6,1.958,2.925,4.58,5.099,1.051,2.051,3.153,4.415,4.596,6.503,-27.155,7.636,7.51,1.968,-1.348,0.391,2.843,4.3,2.136,3.202,3.222,2.996,3.473,5.339,-1.452,4.197,10.201,5.18,4.625,4.5,4.5
NGDP_RPCH,Guyana,-2.076,0.562,-8.884,-11.497,2.134,0.366,-0.234,-0.13,-5.981,-4.944,-3.01,6.026,7.758,8.201,8.482,5.055,7.956,6.185,-1.707,2.986,-1.345,2.26,1.149,-0.652,1.566,-1.942,5.127,7.02,1.977,3.319,4.371,5.437,3.349,5.509,5.986,5.977,3.636,3.346,3.322
NGDP_RPCH,Haiti,7.345,1.056,-2.797,-1.5,0.201,0.757,0.273,-0.432,0.559,-1.131,-0.44,1.262,-2.251,-4.922,-11.603,9.9,4.143,2.705,2.182,2.71,0.87,-1.044,-0.251,0.364,-3.523,1.805,2.249,3.343,0.844,2.878,-5.416,5.59,2.822,6.5,6.3,6.1,5.8,5.6,5.4
NGDP_RPCH,Honduras,0.668,2.533,-1.391,-0.924,4.346,4.188,0.723,6.031,4.61,4.326,0.097,3.252,5.624,6.23,-1.303,4.08,3.578,4.994,2.902,-1.89,5.748,2.724,3.754,4.547,6.232,6.051,6.567,6.188,4.232,-2.432,3.731,3.712,3.3,3.3,3,3,3,3,3
NGDP_RPCH,Hong Kong SAR,10.34,9.389,2.983,5.92,9.905,0.715,11.037,13.406,8.445,2.222,3.898,5.694,6.093,6.043,6.013,2.293,4.193,5.056,-6.026,2.556,7.951,0.561,1.657,3.056,8.7,7.388,7.033,6.465,2.128,-2.459,6.793,4.85,1.442,2.958,4.39,4.37,4.458,4.462,4.506
NGDP_RPCH,Hungary,0.215,2.867,2.841,0.723,2.658,-0.253,1.535,4.051,-0.065,0.736,-3.497,-11.892,-3.064,-0.576,2.947,2.541,1.006,3.74,4.061,3.169,4.168,3.838,4.505,3.825,4.642,4.149,3.882,0.125,0.743,-6.695,1.244,1.652,-1.659,-0.012,1.186,1.52,1.643,1.644,1.613
NGDP_RPCH,Iceland,7.21,4.265,2.154,-2.151,4.129,3.293,6.27,8.546,-0.09,0.258,1.169,-0.224,-3.374,1.313,3.609,0.117,4.785,4.913,6.317,4.094,4.322,3.922,0.139,2.434,7.836,7.23,4.709,5.985,1.188,-6.565,-4.098,2.89,1.639,1.886,2.126,2.108,1.798,2.061,2.291
NGDP_RPCH,India,3.626,6.176,4.072,6.365,4.647,4.891,4.88,4.153,8.258,6.811,5.63,2.136,4.385,4.938,6.199,7.352,7.56,4.616,5.987,6.895,5.708,3.885,4.558,6.852,7.662,9.05,9.393,10.078,6.187,5.037,11.228,7.745,3.986,5.676,6.23,6.632,6.861,6.922,6.965
NGDP_RPCH,Indonesia,9.88,7.604,2.246,4.193,6.975,2.463,5.876,4.926,5.78,7.457,7.241,6.95,6.46,7.996,7.54,8.22,7.818,4.7,-13.127,0.791,4.199,3.643,4.499,4.78,5.031,5.693,5.501,6.345,6.014,4.629,6.224,6.49,6.226,6.3,6.4,6.44,6.5,6.5,6.5
