id,user,date,source,retweets,text,followers,statuses,listed,friends,source_cleaned,tweettopic
10687,inee_27,Fri  01 Mar 2013 23:40:10 +0000,Twitter for iPhone,0,@KingJaikope uhm .. BOOO you &amp;&amp; your android!! ha jk!,196,4781,0,200,iOS,Android
12744,kurnia08lusy,Fri  01 Mar 2013 23:31:29 +0000,UberSocial Pro for iPhone,0,BB off android on...,195,14702,1,394,iOS,Android
12757,DanielRomeo,Fri  01 Mar 2013 19:04:34 +0000,VEVO iPhone,0,I'm watching Right Here (Lyric Video) by Justin Bieber ft. Drake on @VEVO for Android. http://t.co/JbdPdbiwbs,222,4415,0,197,iOS,Android
12758,AnitaMorlock,Fri  01 Mar 2013 19:55:45 +0000,VEVO iPhone,0,I'm watching The Best Day by Taylor Swift on @VEVO for Android. http://t.co/uleRHLwjrd,8,271,0,75,iOS,Android
12759,AnitaMorlock,Fri  01 Mar 2013 19:57:39 +0000,VEVO iPhone,0,Khloe is one lucky little girl I'm watching The Best Day by Taylor Swift on @VEVO for Android. http://t.co/uleRHLwjrd,8,272,0,75,iOS,Android
12760,rulasrulito,Fri  01 Mar 2013 20:01:46 +0000,VEVO iPhone,0,I'm watching Outside by George Michael on @VEVO for Android. http://t.co/uI6qqdIyuw,8,121,0,16,iOS,Android
12761,WutsCrackinAZ,Fri  01 Mar 2013 20:03:09 +0000,VEVO iPhone,0,I'm watching On My Block by Scarface on @VEVO for Android. http://t.co/HxnFJ512rS,1474,43025,27,2008,iOS,Android
12762,rulasrulito,Fri  01 Mar 2013 20:03:18 +0000,VEVO iPhone,0,I'm watching I'm Gonna Getcha Good! (Red Picture Version) by Shania Twain on @VEVO for Android. http://t.co/s9I4etEngD,8,122,0,16,iOS,Android
12763,Dommecca22,Fri  01 Mar 2013 20:35:33 +0000,VEVO iPhone,0,I'm watching Diced Pineapples (Explicit) by Rick Ross ft. Wale &amp; Drake on @VEVO for Android. http://t.co/68vmJef0iF,51,2252,0,280,iOS,Android
12764,Dommecca22,Fri  01 Mar 2013 20:37:00 +0000,VEVO iPhone,0,I'm watching Headlines (Explicit) by Drake on @VEVO for Android. http://t.co/SLLsQlLMtQ,51,2253,0,280,iOS,Android
12765,andrelemos100,Fri  01 Mar 2013 20:37:49 +0000,VEVO iPhone,0,I'm watching The One That Got Away by Katy Perry on @VEVO for Android. http://t.co/ywN7qFJcMt,33,1219,0,223,iOS,Android
12766,anva6606,Fri  01 Mar 2013 21:13:55 +0000,VEVO iPhone,0,I'm watching Algo Me Gusta De Ti (Lyric Video) by Wisin &amp; Yandel ft. T-Pain &amp; Chris Brown on @VEVO for Android. http://t.co/6o51apceav,6,202,2,29,iOS,Android
12767,terrymayz,Fri  01 Mar 2013 21:43:49 +0000,VEVO iPhone,0,I'm watching Hey Porsche by Nelly on @VEVO for Android. http://t.co/gqPELUNcq6,104,953,1,308,iOS,Android
12768,PornKeuth,Fri  01 Mar 2013 21:45:35 +0000,VEVO iPhone,0,I'm watching Carried Away by Passion Pit on @VEVO for Android. http://t.co/FQXXvseVOq,75,704,1,81,iOS,Android
12769,TYCloser,Fri  01 Mar 2013 22:17:37 +0000,VEVO iPhone,0,I'm watching Major Distribution (Explicit) by 50 Cent ft. Young Jeezy &amp; Snoop Dogg on @VEVO for Android. http://t.co/Xx6m8ZIFo2,28,880,0,76,iOS,Android
12770,theelmsctl2,Fri  01 Mar 2013 22:29:23 +0000,VEVO iPhone,0,I'm watching Next To Me by Emeli Sand?? on @VEVO for Android. http://t.co/1BhsQrlIKD,96,252,0,365,iOS,Android
12771,VevollcSf,Fri  01 Mar 2013 22:59:06 +0000,VEVO iPhone,0,I'm watching Right Side of the Bed by Atreyu on @VEVO for Android. http://t.co/L91gYgYBUf,0,10,0,1,iOS,Android
12772,god_dea,Fri  01 Mar 2013 23:15:33 +0000,VEVO iPhone,0,I'm watching One Way Or Another (Teenage Kicks) by One Direction on @VEVO for Android. http://t.co/D2X5U9tyTC,0,22,0,1,iOS,Android
12773,ddmothe,Fri  01 Mar 2013 23:18:52 +0000,VEVO iPhone,0,I'm watching Heart Attack (Official Lyric Video) by Demi Lovato on @VEVO for Android. http://t.co/qKrEavXIXs,6,17,0,37,iOS,Android
