X,date,followers,friends,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
3064,Fri  01 Mar 2013 21:16:23 +0000,2,22,0,u,0,iOS,iOS,2,iOS,ryblyshyguy,Created in Volt for iOS: http://t.co/Z8dp4ctD9U http://t.co/OSyTPQ30d5
3065,Fri  01 Mar 2013 21:19:17 +0000,11,30,0,u,0,iOS,iOS,369,iOS,MohsenIPhone4,???????? ???????????? ?????????? ????????????  iOS 
TuneShell - Ultimate Music Downloader   Lyrics Finder and Player (FLAC/APE). by LI DONG
3066,Fri  01 Mar 2013 21:32:12 +0000,2,24,0,u,0,iOS,iOS,12,iOS,laura_equihua,Bat Quiz (Free App)
iOS:
http://t.co/LPtbZfaDL2 http://t.co/tX3cDvFLPT
3067,Fri  01 Mar 2013 21:33:25 +0000,197,73,0,u,0,iOS,iOS,2662,iOS,PhillMyKicks,Apocalypse Max - The most amazing zombie shooter on iOS!!
 http://t.co/cuMDzYEQHc http://t.co/y99rm9O8Zq
3068,Fri  01 Mar 2013 21:34:19 +0000,131,158,1,u,0,iOS,iOS,7288,iOS,Graning21,Anyone have the toy story smash it game for iOS?
3069,Fri  01 Mar 2013 21:35:21 +0000,528,1062,1,u,0,iOS,iOS,2019,iOS,_AnaOprea,This IOS App is free today: Dr. Seuss Camera - The Cat in the Hat Edition by Oceanhouse Media https://t.co/lScxblPHJM
3070,Fri  01 Mar 2013 21:36:10 +0000,319,626,5,u,0,iOS,iOS,2984,iOS,Bibisprou,Check out my new eyes with the Eye Color Studio iOS app. http://t.co/HXdNgeMktD
3072,Fri  01 Mar 2013 21:36:43 +0000,4,15,0,u,0,iOS,iOS,3,iOS,JohnBurrington1,Check out this cool paper craft you can create from Paper Crafts for Minecraft on iOS! @seejaykayapps http://t.co/cyu10ceMPO
3075,Fri  01 Mar 2013 21:41:26 +0000,121,175,0,u,0,iOS,iOS,1191,iOS,MF_Enany,Shared using Pakdata SalahClock iOS Application https://t.co/JcFHAGs0r7 http://t.co/yrLWcGaAzJ
3078,Fri  01 Mar 2013 21:46:55 +0000,108,371,0,u,0,iOS,iOS,2743,iOS,swervinerv82,#UW better get a letter off to this kid! #HuskyBasketball - Ridiculous skills !!.. &amp; 2 YEARS OLD! from Wimp iOS app: http://t.co/gRwX8QOHBq
3080,Fri  01 Mar 2013 21:52:09 +0000,2173,1673,29,u,0,iOS,iOS,16623,iOS,star_chronicles,It's not Mai Tai it's my Thai :) #foodshootr #foodie # app #toronto #iOS #yum http://t.co/sPCw8RDmcZ
3081,Fri  01 Mar 2013 21:52:48 +0000,74,100,0,u,0,iOS,iOS,1218,iOS,PresidentSaad,@saraletrick is reaching me the ways of iOS
3083,Fri  01 Mar 2013 21:56:24 +0000,147,616,4,n,0,iOS,iOS,951,iOS,mihaitabamburic,iOS is so freaking lame on the iPad that I can't figure out what actually made me buy an Apple tablet  useless apps and useless management.
3084,Fri  01 Mar 2013 21:59:23 +0000,26,1,0,p,0,iOS,iOS,6649,iOS,wantme_247,Winterboard &amp; SBSettings do seem to be working on iOS 6.1.2  might work with iOS 4  iOS 5  iOS 6.0.1  iOS 6.1.1 but not iOS 6.0.2??? Lol
3085,Fri  01 Mar 2013 21:59:24 +0000,438,393,9,u,0,iOS,iOS,9589,iOS,eddible,Whenever someone posts on Reddit about closing all their apps on iOS to save battery  it's important to down vote everyone who agrees.
3087,Fri  01 Mar 2013 22:03:26 +0000,25,46,0,u,0,iOS,iOS,129,iOS,44_vargas,I've just created a custom image with Wallpaper for iOS! http://t.co/GZelRndmG2 @kenshin316 http://t.co/NX4dB8dyGw
3088,Fri  01 Mar 2013 22:05:09 +0000,250,245,0,u,0,iOS,iOS,4095,iOS,TaylorPadilla6,Hunter is amazing. He updated me to iOS 6.1.2. #bitches
3089,Fri  01 Mar 2013 22:05:34 +0000,2,7,0,u,0,iOS,iOS,5,iOS,RssPatrick,My NAVIGATOR-P flying from Prague to Brussels in Pocket Planes for iOS! http://t.co/wusfgUdvjo
3092,Fri  01 Mar 2013 22:07:01 +0000,156,1457,0,u,0,iOS,iOS,60,iOS,abidsultani2,Shared using Pakdata SalahClock iOS Application https://t.co/XtCpQvfAeD http://t.co/0yF4N7g0Pe
3093,Fri  01 Mar 2013 22:07:40 +0000,694,937,33,u,0,iOS,iOS,15329,iOS,rickpumphrey,The Silent Age by House on Fire

This is the absolute best game on iOS! https://t.co/7duqu7XJ8e
3094,Fri  01 Mar 2013 22:07:43 +0000,25,46,0,u,0,iOS,iOS,130,iOS,44_vargas,I've just created a custom image with Wallpaper for iOS! http://t.co/GZelRndmG2 @kenshin316 http://t.co/KBrwH21TbK
3096,Fri  01 Mar 2013 22:09:38 +0000,321,537,16,u,0,iOS,iOS,15969,iOS,windycitymeikan,My AEROEAGLE-P flying from New York to Xi'an in Pocket Planes for iOS! http://t.co/z35ImAiKmQ
3097,Fri  01 Mar 2013 22:12:18 +0000,83,159,0,u,0,iOS,iOS,103,iOS,buddyroo2,Hey! Check out this interesting video from Wimp iOS app: http://t.co/vqVcjsfIOY
3098,Fri  01 Mar 2013 22:12:40 +0000,3,6,0,u,0,iOS,iOS,8,iOS,nikorvi,Check out this cool paper craft you can create from Paper Crafts for Minecraft on iOS! @seejaykayapps http://t.co/7jflwmBNWk
3099,Fri  01 Mar 2013 22:19:08 +0000,221,429,2,u,0,iOS,iOS,3955,iOS,EmilianoRojas,I'm playing @acerider_game for iOS. Join me! http://t.co/7rwfyZImcR
3101,Fri  01 Mar 2013 22:20:56 +0000,30,24,0,u,0,iOS,iOS,119,iOS,applemacaddict,Google drive is a good free word processing application for iOS! Check it out!
3103,Fri  01 Mar 2013 22:25:18 +0000,47,61,0,u,0,iOS,iOS,645,iOS,Arif_AZE,Playing #realracing3 amazing game!
#iOS #Apple #iPhone #games
3104,Fri  01 Mar 2013 22:31:09 +0000,152,240,6,u,0,iOS,iOS,485,iOS,GAMEChatham,Watch Defiance - Exclusive Multiplayer Trailer http://t.co/2BnrtsqZ9D via @GameTrailers iOS App http://t.co/NZhf5G57nh
3105,Fri  01 Mar 2013 22:31:28 +0000,174,174,1,u,0,iOS,iOS,155,iOS,hugglicious77,Check out this cool iOS app iTubeList (http://t.co/K31vXdkrPl) that plays safe YouTube playlists for kids.
3106,Fri  01 Mar 2013 22:32:20 +0000,152,240,6,u,0,iOS,iOS,486,iOS,GAMEChatham,Watch Real Racing 3 - Exclusive Launch Trailer http://t.co/y2MPnlekTk via @GameTrailers iOS App http://t.co/NZhf5G57nh
3107,Fri  01 Mar 2013 22:34:13 +0000,272,161,3,u,0,iOS,iOS,749,iOS,VFornasier,Sto guardando un video terrificante con ScaryVideo di #CrazyJokes! #iOS #iPhone #app http://t.co/3Yq8grcVGy http://t.co/TDHeopkh93
3109,Fri  01 Mar 2013 22:36:26 +0000,115,130,1,u,0,iOS,iOS,4868,iOS,tarooph,Now I'm just tweeting to annoy @CabSauvi with my twitter noise on iOS
3110,Fri  01 Mar 2013 22:41:28 +0000,47,133,0,u,0,iOS,iOS,124,iOS,SpaceT1me,Yay ! I was able to fix Siri theming problem on iOS 6.x !
3111,Fri  01 Mar 2013 22:42:00 +0000,69,372,0,u,0,iOS,iOS,208,iOS,huseyinyunusogl,Sanan Nasai?? Shared using Hadith iOS Application https://t.co/Hf6fnJyxuw http://t.co/cpN2Hj3z8p
3112,Fri  01 Mar 2013 22:42:10 +0000,272,161,3,u,0,iOS,iOS,750,iOS,VFornasier,Sto frustando @Bruny85  con iWhip di #CrazyJokes! #iOS #iPhone #app http://t.co/3Yq8grcVGy
