date,followers,friends,id,listed,predicted,retweets,source,source_cleaned,statuses,tweettopic,user,text
Fri  01 Mar 2013 20:39:53 +0000,459,197,9842,1,neutral,0,Twitter for iPhone,iOS,12647,Android,geeivonne,@Semaje_ ????semaje  you had an android thats why!
Fri  01 Mar 2013 20:43:00 +0000,2996,1997,9859,9,neutral,0,Twitter for iPhone,iOS,18319,Android,Semaje_,I remember those days when i was team android. Started from the bottom now we here ????
Fri  01 Mar 2013 20:45:03 +0000,404,314,9864,2,neutral,0,Twitter for iPhone,iOS,14339,Android,BeardedBandittt,But then again my SnapChat was messed up...now I can't get videos from Android users. You can never have the best of both worlds....
Fri  01 Mar 2013 20:49:41 +0000,551,385,9887,2,neutral,0,Twitter for iPhone,iOS,36707,Android,MademoiselleDez,Android getting Instagram was THE biggest mistake.
Fri  01 Mar 2013 20:53:07 +0000,144,284,9906,3,positive,0,Twitter for iPhone,iOS,4828,Android,jd010980,Dominion Intrigue and Android: Netrunner. Need players. #games #bgg #yfc
Fri  01 Mar 2013 20:53:33 +0000,231,211,9908,0,neutral,0,Twitter for iPhone,iOS,26260,Android,BasedTacos,The majin buu saga is the greatest then then the cell saga then the android saga then then frieza.
Fri  01 Mar 2013 20:54:03 +0000,445,421,9911,2,neutral,0,Twitter for iPhone,iOS,11335,Android,Tash_Solo,@EfffinFabolous ???? I didn't even know android has auto correct too
Fri  01 Mar 2013 20:55:31 +0000,340,251,9918,0,positive,0,Twitter for iPhone,iOS,30564,Android,Aye_yo_itsDee,@imBeaming_ That's cute  cause I switched over to my android a month ago. ????????
Fri  01 Mar 2013 20:55:38 +0000,558,774,9919,17,positive,0,Twitter for iPhone,iOS,2923,Android,cindystarks,RT @MaryamatHP: Meet the new HP Slate7  powered by Android. http://t.co/X32qp5Jg1b "You had me at hello." @AFinnie ;)
Fri  01 Mar 2013 20:55:38 +0000,3448,1064,9920,8,neutral,0,Twitter for iPhone,iOS,1041,Android,instawedapp,Who has an android and wants to help out
Fri  01 Mar 2013 20:57:29 +0000,261,250,9931,0,negative,0,Twitter for iPhone,iOS,6676,Android,brittanylc_,@savannahpilates I can see ya android shit
Fri  01 Mar 2013 20:58:25 +0000,546,440,9934,0,neutral,0,Twitter for iPhone,iOS,6212,Android,callmebaldy,Lord my nanny just bought an android???? she hasn't had a cell phone in 8 years
Fri  01 Mar 2013 21:01:06 +0000,698,1319,9942,18,neutral,0,Twitter for iPhone,iOS,18695,Android,gingerninjadani,Is avg antivirus fro android any good?
Fri  01 Mar 2013 21:01:20 +0000,411,253,9943,14,neutral,0,Twitter for iPhone,iOS,4353,Android,DUBfromVA,NEW APP  stream music whenever  wherever.. If you have a android thanks !  http://t.co/yaV1doIlSR
Fri  01 Mar 2013 21:02:20 +0000,243,132,9948,0,neutral,0,Twitter for iPhone,iOS,7396,Android,YeaRightDoee,@natalicarmenn just get the app !! I have an android too lol
Fri  01 Mar 2013 21:03:34 +0000,345,303,9954,2,neutral,0,Twitter for iPhone,iOS,17498,Android,Edfor3,Leander got the android dude out there twearking
Fri  01 Mar 2013 21:07:53 +0000,5725,2535,9973,3,neutral,0,Twitter for iPhone,iOS,10501,Android,PerfLoveLife,@LifeOfAGFx it's an android app
Fri  01 Mar 2013 21:12:49 +0000,284,299,9996,0,negative,0,Twitter for iPhone,iOS,16871,Android,1badd_libra32,My mama done got her an android...she think she the shit now lmao
Fri  01 Mar 2013 21:15:14 +0000,953,681,10006,0,neutral,0,Twitter for iPhone,iOS,25198,Android,_kiyaboo,@ErnestFipps123 well idk   ask somebody who got a android
